model,repeat_index,actual_score,expected_score,elapsed_seconds,game_log_path
gpt-5.1,2,404,472.0,59.67,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r002.log
gpt-5.1,8,444,472.0,60.432,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r008.log
gpt-5.4,8,528,576.0,60.744,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r008.log
gpt-5.1,5,704,576.0,63.143,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r005.log
gpt-5.1,4,608,576.0,64.381,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r004.log
gpt-4o-mini,1,454,428.0,64.769,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r001.log
gpt-4o-mini,2,240,240,64.957,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r002.log
gpt-4o-mini,6,232,232,65.289,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r006.log
gpt-4o-mini,8,240,240,65.883,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r008.log
gpt-4.1,1,468,440.0,66.707,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r001.log
gpt-4.1,6,618,572.0,68.507,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r006.log
gpt-4.1,8,530,484.0,68.695,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r008.log
gpt-4.1,3,456,464.0,69.063,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r003.log
gpt-4o-mini,4,412,448.0,69.55,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r004.log
gpt-4.1,7,558,548.0,69.943,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r007.log
gpt-4o-mini,3,510,484.0,80.136,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r003.log
gpt-4o-mini,5,364,352.0,84.191,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r005.log
gpt-4o-mini,7,480,432.0,85.036,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r007.log
gpt-4.1,11,550,556.0,45.03,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r011.log
gpt-4.1,10,424,472.0,47.041,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r010.log
gpt-4.1,9,562,540.0,54.947,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r009.log
gpt-4.1,13,576,576.0,44.488,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r013.log
gpt-5.4,9,240,240,54.389,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r009.log
gpt-5.1,10,620,576.0,52.718,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r010.log
gpt-5.4,11,240,240,53.556,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r011.log
gpt-5.1,11,314,356.0,55.469,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r011.log
gpt-5.4,10,624,576.0,56.557,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r010.log
gpt-5.1,9,598,564.0,60.907,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r009.log
gpt-5.4,13,240,240,53.079,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r013.log
gpt-4.1,12,528,576.0,59.113,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r012.log
gpt-5.4,14,556,544.0,53.436,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r014.log
gpt-5.1,12,496,472.0,62.561,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r012.log
gpt-4o-mini,11,232,232,64.296,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r011.log
gpt-4o-mini,9,468,472.0,76.606,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r009.log
gpt-4o-mini,13,512,488.0,62.039,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r013.log
gpt-5.1,14,584,576.0,57.189,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r014.log
gpt-4o-mini,12,378,364.0,64.838,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r012.log
gpt-4.1,15,526,476.0,55.49,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r015.log
gpt-5.1,15,460,464.0,56.078,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r015.log
gpt-4o-mini,15,418,420.0,57.289,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r015.log
gpt-5.4,12,240,240,66.326,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r012.log
gpt-5.4,15,552,576.0,58.614,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r015.log
gpt-5.1,13,238,244.0,64.259,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r013.log
gpt-4o-mini,16,484,432.0,61.026,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r016.log
gpt-4.1,14,368,424.0,67.958,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r014.log
gpt-4o-mini,14,396,432.0,68.727,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r014.log
gpt-4.1,16,448,448.0,59.186,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r016.log
gpt-4o-mini,10,448,392.0,84.904,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r010.log
gpt-5.4,16,600,576.0,62.7,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r016.log
gpt-5.1,16,240,240,69.145,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r016.log
gpt-4.1,17,228,264.0,55.538,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r017.log
gpt-4.1,19,468,552.0,46.735,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r019.log
gpt-5.1,17,420,480.0,55.57,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r017.log
gpt-4o-mini,17,486,452.0,62.172,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r017.log
gpt-4o-mini,18,240,240,57.991,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r018.log
gpt-5.1,18,644,576.0,58.245,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r018.log
gpt-4o-mini,19,438,436.0,56.669,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r019.log
gpt-5.4,18,560,576.0,57.621,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r018.log
gpt-5.4,17,240,240,64.434,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r017.log
gpt-5.4,19,572,576.0,55.268,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r019.log
gpt-4.1,21,528,576.0,52.397,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r021.log
gpt-5.1,19,486,468.0,57.638,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r019.log
gpt-4.1,18,678,572.0,66.127,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r018.log
gpt-5.4,20,504,472.0,55.81,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r020.log
gpt-4o-mini,22,248,280.0,54.002,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r022.log
gpt-4o-mini,20,232,232,59.703,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r020.log
gpt-5.1,21,476,472.0,56.904,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r021.log
gpt-4.1,23,632,576.0,50.462,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r023.log
gpt-5.1,20,576,576.0,59.543,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r020.log
gpt-5.4,21,228,264.0,63.374,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r021.log
gpt-4o-mini,21,490,460.0,66.694,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r021.log
gpt-5.1,23,540,576.0,56.344,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r023.log
gpt-5.4,22,240,240,63.81,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r022.log
gpt-5.4,23,528,576.0,58.302,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r023.log
gpt-4o-mini,23,496,472.0,64.027,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r023.log
gpt-4.1,22,676,552.0,67.539,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r022.log
gpt-4.1,20,236,312.0,74.122,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r020.log
gpt-5.1,22,396,376.0,70.419,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r022.log
gpt-4o-mini,24,232,232,60.662,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r024.log
gpt-5.1,24,240,240,58.669,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r024.log
gpt-4.1,24,584,544.0,67.251,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r024.log
gpt-5.4,24,504,472.0,61.916,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r024.log
gpt-4.1,27,484,472.0,42.262,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r027.log
gpt-5.1,25,612,576.0,53.514,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r025.log
gpt-4o-mini,25,400,424.0,58.527,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r025.log
gpt-5.4,25,240,240,60.624,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r025.log
gpt-4.1,25,488,488.0,64.398,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r025.log
gpt-5.1,26,526,468.0,56.504,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r026.log
gpt-5.4,26,572,576.0,59.379,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r026.log
gpt-4.1,26,236,272.0,60.918,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r026.log
gpt-4.1,28,480,576.0,53.937,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r028.log
gpt-4o-mini,26,544,520.0,66.805,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r026.log
gpt-4.1,29,556,472.0,53.899,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r029.log
gpt-5.4,27,608,576.0,61.001,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r027.log
gpt-5.1,28,504,576.0,60.924,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r028.log
gpt-5.1,27,608,576.0,66.048,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r027.log
gpt-5.4,28,348,384.0,61.79,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r028.log
gpt-4.1,30,470,460.0,52.176,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r030.log
gpt-4o-mini,28,396,432.0,66.522,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r028.log
gpt-5.1,29,308,368.0,61.228,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r029.log
gpt-4o-mini,27,240,240,72.09,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r027.log
gpt-4o-mini,29,348,352.0,65.039,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r029.log
gpt-5.1,30,548,576.0,54.911,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r030.log
gpt-5.4,29,240,240,59.701,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r029.log
gpt-5.4,30,444,472.0,58.464,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r030.log
gpt-4.1,32,684,576.0,45.112,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r032.log
gpt-5.1,31,240,240,56.087,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r031.log
gpt-4o-mini,30,410,452.0,68.054,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r030.log
gpt-5.4,31,240,240,62.662,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r031.log
gpt-4.1,31,608,576.0,66.755,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r031.log
gpt-4o-mini,31,394,404.0,67.919,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r031.log
gpt-4.1,33,540,528.0,46.939,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r033.log
gpt-5.1,32,480,528.0,63.295,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r032.log
gpt-5.4,32,436,472.0,59.01,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r032.log
gpt-5.1,33,240,240,58.455,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r033.log
gpt-5.4,33,240,240,56.062,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r033.log
gpt-4o-mini,33,378,388.0,66.658,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r033.log
gpt-4.1,34,542,540.0,57.726,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r034.log
gpt-5.1,35,240,240,51.276,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r035.log
gpt-4.1,35,260,312.0,53.982,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r035.log
gpt-4o-mini,34,412,440.0,62.073,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r034.log
gpt-5.1,34,560,552.0,60.108,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r034.log
gpt-5.4,35,240,240,55.41,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r035.log
gpt-5.4,34,596,576.0,61.533,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r034.log
gpt-5.4,36,240,240,56.243,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r036.log
gpt-4o-mini,37,522,468.0,56.334,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r037.log
gpt-4o-mini,32,480,496.0,99.723,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r032.log
gpt-4o-mini,38,184,184,54.875,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r038.log
gpt-4o-mini,36,386,380.0,62.68,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4o-mini_r036.log
gpt-5.1,36,372,456.0,61.322,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r036.log
gpt-5.4,37,236,288.0,58.068,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r037.log
