good_model,bad_model,repeat_index,actual_score,expected_score,elapsed_seconds,match_log_path
gpt-4.1,gpt-5.4,2,240,240,239.449,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-5.4_r002.log
gpt-4.1,gpt-5.1,2,254,252.0,260.66,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-5.1_r002.log
gpt-5.1,gpt-4o-mini,2,534,556.0,244.61,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-4o-mini_r002.log
gpt-5.1,gpt-4.1,2,256,272.0,242.458,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-4.1_r002.log
gpt-5.1,gpt-5.4,2,314,292.0,248.823,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-5.4_r002.log
gpt-5.4,gpt-4o-mini,2,354,396.0,257.88,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-4o-mini_r002.log
gpt-5.4,gpt-4.1,2,602,556.0,254.755,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-4.1_r002.log
gpt-5.4,gpt-5.4,2,240,240,249.096,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-5.4_r002.log
gpt-5.1,gpt-5.1,2,556,520.0,362.468,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-5.1_r002.log
gpt-5.4,gpt-5.1,2,308,368.0,335.647,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-5.1_r002.log
gpt-4o-mini,gpt-4o-mini,3,232,232,310.442,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-4o-mini_r003.log
gpt-4o-mini,gpt-4.1,3,240,240,306.058,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-4.1_r003.log
gpt-4o-mini,gpt-5.4,3,242,236.0,323.413,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-5.4_r003.log
gpt-4.1,gpt-4o-mini,3,272,288.0,306.577,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-4o-mini_r003.log
gpt-4.1,gpt-4.1,3,254,260.0,279.666,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-4.1_r003.log
gpt-4o-mini,gpt-5.1,3,364,376.0,385.501,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-5.1_r003.log
gpt-4.1,gpt-5.1,3,240,240,303.739,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-5.1_r003.log
gpt-4.1,gpt-5.4,3,240,240,278.953,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-5.4_r003.log
gpt-5.1,gpt-4.1,3,552,576.0,242.685,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-4.1_r003.log
gpt-5.1,gpt-4o-mini,3,234,252.0,268.365,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-4o-mini_r003.log
gpt-5.1,gpt-5.4,3,246,276.0,247.042,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-5.4_r003.log
gpt-5.4,gpt-4o-mini,3,584,576.0,278.98,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-4o-mini_r003.log
gpt-5.4,gpt-4.1,3,468,464.0,272.934,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-4.1_r003.log
gpt-5.1,gpt-5.1,3,338,308.0,341.996,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-5.1_r003.log
gpt-5.4,gpt-5.4,3,556,544.0,294.811,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-5.4_r003.log
gpt-5.4,gpt-5.1,3,470,492.0,364.925,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-5.1_r003.log
gpt-4o-mini,gpt-4o-mini,4,240,240,279.548,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-4o-mini_r004.log
gpt-4o-mini,gpt-4.1,4,240,240,270.117,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-4.1_r004.log
gpt-4o-mini,gpt-5.4,4,240,240,281.766,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-5.4_r004.log
gpt-4.1,gpt-4.1,4,264,264.0,242.594,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-4.1_r004.log
gpt-4o-mini,gpt-5.1,4,238,244.0,332.653,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-5.1_r004.log
gpt-4.1,gpt-4o-mini,4,256,280.0,282.209,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-4o-mini_r004.log
gpt-4.1,gpt-5.4,4,298,284.0,248.312,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-5.4_r004.log
gpt-4.1,gpt-5.1,4,272,264.0,306.751,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-5.1_r004.log
gpt-5.1,gpt-4.1,4,256,280.0,262.814,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-4.1_r004.log
gpt-5.1,gpt-4o-mini,4,480,456.0,272.916,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-4o-mini_r004.log
gpt-5.1,gpt-5.4,4,314,316.0,297.709,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-5.4_r004.log
gpt-5.4,gpt-4o-mini,4,234,276.0,296.175,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-4o-mini_r004.log
gpt-5.1,gpt-5.1,4,240,240,329.923,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-5.1_r004.log
gpt-5.4,gpt-5.4,4,240,240,299.083,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-5.4_r004.log
gpt-4o-mini,gpt-4.1,5,240,240,293.602,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-4.1_r005.log
gpt-5.4,gpt-5.1,4,350,364.0,372.92,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-5.1_r004.log
gpt-4o-mini,gpt-4o-mini,5,328,296.0,332.056,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-4o-mini_r005.log
gpt-4o-mini,gpt-5.1,5,250,244.0,318.21,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-5.1_r005.log
gpt-4o-mini,gpt-5.4,5,240,240,268.29,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-5.4_r005.log
gpt-4.1,gpt-4o-mini,5,362,340.0,276.274,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-4o-mini_r005.log
gpt-4.1,gpt-4.1,5,324,312.0,276.624,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-4.1_r005.log
gpt-4.1,gpt-5.4,5,248,248.0,254.93,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-5.4_r005.log
gpt-5.1,gpt-4o-mini,5,232,296.0,237.184,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-4o-mini_r005.log
gpt-4.1,gpt-5.1,5,294,300.0,324.536,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-5.1_r005.log
gpt-5.1,gpt-4.1,5,236,272.0,269.18,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-4.1_r005.log
gpt-5.1,gpt-5.1,5,240,240,269.805,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-5.1_r005.log
gpt-5.1,gpt-5.4,5,302,300.0,250.196,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-5.4_r005.log
gpt-5.4,gpt-4o-mini,5,624,576.0,267.835,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-4o-mini_r005.log
gpt-5.4,gpt-4.1,5,556,560.0,248.665,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-4.1_r005.log
gpt-5.4,gpt-5.4,5,496,488.0,291.964,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-5.4_r005.log
gpt-4o-mini,gpt-4o-mini,6,240,240,259.717,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-4o-mini_r006.log
gpt-5.4,gpt-5.1,5,644,560.0,302.17,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-5.1_r005.log
gpt-4o-mini,gpt-4.1,6,240,240,263.114,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-4.1_r006.log
gpt-4o-mini,gpt-5.1,6,240,240,293.396,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-5.1_r006.log
gpt-4.1,gpt-4.1,6,534,452.0,248.066,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-4.1_r006.log
gpt-4.1,gpt-4o-mini,6,244,272.0,252.903,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-4o-mini_r006.log
gpt-4o-mini,gpt-5.4,6,240,240,287.983,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-5.4_r006.log
gpt-4.1,gpt-5.4,6,240,240,218.299,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-5.4_r006.log
gpt-5.1,gpt-4o-mini,6,478,556.0,237.507,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-4o-mini_r006.log
gpt-5.1,gpt-4.1,6,552,472.0,229.25,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-4.1_r006.log
gpt-4.1,gpt-5.1,6,238,244.0,259.314,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-5.1_r006.log
gpt-5.1,gpt-5.4,6,240,240,241.348,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-5.4_r006.log
gpt-5.4,gpt-4.1,6,584,552.0,236.482,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-4.1_r006.log
gpt-5.4,gpt-4o-mini,6,660,576.0,240.185,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-4o-mini_r006.log
gpt-5.1,gpt-5.1,6,264,288.0,308.208,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-5.1_r006.log
gpt-5.4,gpt-5.4,6,460,448.0,257.379,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-5.4_r006.log
gpt-4o-mini,gpt-4.1,7,240,240,245.458,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-4.1_r007.log
gpt-4o-mini,gpt-4o-mini,7,240,240,268.736,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-4o-mini_r007.log
gpt-5.4,gpt-5.1,6,342,404.0,330.338,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-5.1_r006.log
gpt-4o-mini,gpt-5.4,7,240,240,268.25,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-5.4_r007.log
gpt-4.1,gpt-4o-mini,7,556,528.0,271.82,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-4o-mini_r007.log
gpt-4.1,gpt-4.1,7,322,300.0,258.908,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-4.1_r007.log
gpt-4o-mini,gpt-5.1,7,668,576.0,279.992,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-5.1_r007.log
gpt-4.1,gpt-5.4,7,240,240,247.394,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-5.4_r007.log
gpt-5.1,gpt-4o-mini,7,490,556.0,254.962,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-4o-mini_r007.log
gpt-4.1,gpt-5.1,7,228,264.0,286.463,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-5.1_r007.log
gpt-5.1,gpt-4.1,7,440,448.0,279.376,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-4.1_r007.log
gpt-5.1,gpt-5.4,7,240,240,250.09,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-5.4_r007.log
gpt-5.4,gpt-4o-mini,7,592,544.0,252.441,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-4o-mini_r007.log
gpt-5.4,gpt-4.1,7,554,564.0,271.828,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-4.1_r007.log
gpt-5.1,gpt-5.1,7,232,256.0,300.127,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-5.1_r007.log
gpt-5.4,gpt-5.4,7,562,540.0,288.42,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-5.4_r007.log
gpt-5.4,gpt-5.1,7,350,396.0,344.422,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-5.1_r007.log
gpt-4o-mini,gpt-4o-mini,8,240,240,327.589,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-4o-mini_r008.log
gpt-4o-mini,gpt-4.1,8,240,240,326.491,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-4.1_r008.log
gpt-4o-mini,gpt-5.4,8,240,240,290.937,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-5.4_r008.log
