good_model,bad_model,run_id,actual_score,expected_score
gpt-5.4,no_evil_model,gpt-5.4_r049,588.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r001,290.0,332.0
gpt-4.1,no_evil_model,gpt-4.1_r003,476.0,528.0
gpt-4.1,no_evil_model,gpt-4.1_r004,398.0,388.0
gpt-4.1,no_evil_model,gpt-4.1_r005,492.0,552.0
gpt-4.1,no_evil_model,gpt-4.1_r006,622.0,572.0
gpt-4.1,no_evil_model,gpt-4.1_r007,636.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r008,548.0,528.0
gpt-4.1,no_evil_model,gpt-4.1_r009,438.0,468.0
gpt-4.1,no_evil_model,gpt-4.1_r010,536.0,552.0
gpt-4.1,no_evil_model,gpt-4.1_r011,572.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r012,528.0,568.0
gpt-4.1,no_evil_model,gpt-4.1_r013,422.0,460.0
gpt-4.1,no_evil_model,gpt-4.1_r014,504.0,472.0
gpt-4.1,no_evil_model,gpt-4.1_r015,592.0,528.0
gpt-4.1,no_evil_model,gpt-4.1_r016,432.0,432.0
gpt-4.1,no_evil_model,gpt-4.1_r017,548.0,544.0
gpt-4.1,no_evil_model,gpt-4.1_r018,620.0,568.0
gpt-4.1,no_evil_model,gpt-4.1_r019,528.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r020,576.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r021,542.0,532.0
gpt-4.1,no_evil_model,gpt-4.1_r022,616.0,568.0
gpt-4.1,no_evil_model,gpt-4.1_r023,588.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r024,528.0,520.0
gpt-4.1,no_evil_model,gpt-4.1_r026,376.0,440.0
gpt-4.1,no_evil_model,gpt-4.1_r028,544.0,544.0
gpt-4.1,no_evil_model,gpt-4.1_r029,624.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r030,612.0,552.0
gpt-4.1,no_evil_model,gpt-4.1_r031,454.0,492.0
gpt-4.1,no_evil_model,gpt-4.1_r032,604.0,552.0
gpt-4.1,no_evil_model,gpt-4.1_r033,548.0,536.0
gpt-4.1,no_evil_model,gpt-4.1_r035,576.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r036,376.0,368.0
gpt-4.1,no_evil_model,gpt-4.1_r037,516.0,552.0
gpt-4.1,no_evil_model,gpt-4.1_r038,620.0,568.0
gpt-4.1,no_evil_model,gpt-4.1_r039,476.0,552.0
gpt-4.1,no_evil_model,gpt-4.1_r041,592.0,552.0
gpt-4.1,no_evil_model,gpt-4.1_r042,582.0,548.0
gpt-4.1,no_evil_model,gpt-4.1_r043,608.0,552.0
gpt-4.1,no_evil_model,gpt-4.1_r044,648.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r045,452.0,528.0
gpt-4.1,no_evil_model,gpt-4.1_r046,246.0,292.0
gpt-4.1,no_evil_model,gpt-4.1_r047,512.0,472.0
gpt-4.1,no_evil_model,gpt-4.1_r048,456.0,480.0
gpt-4.1,no_evil_model,gpt-4.1_r049,644.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r050,550.0,572.0
gpt-4.1,no_evil_model,gpt-4.1_r051,456.0,488.0
gpt-4.1,no_evil_model,gpt-4.1_r052,636.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r053,330.0,396.0
gpt-4.1,no_evil_model,gpt-4.1_r054,560.0,544.0
gpt-4.1,no_evil_model,gpt-4.1_r055,276.0,408.0
gpt-4.1,no_evil_model,gpt-4.1_r056,362.0,372.0
gpt-4.1,no_evil_model,gpt-4.1_r057,668.0,560.0
gpt-4.1,no_evil_model,gpt-4.1_r058,620.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r059,548.0,568.0
gpt-4.1,no_evil_model,gpt-4.1_r060,464.0,464.0
gpt-4.1,no_evil_model,gpt-4.1_r061,716.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r062,642.0,572.0
gpt-4.1,no_evil_model,gpt-4.1_r063,520.0,568.0
gpt-4.1,no_evil_model,gpt-4.1_r064,510.0,468.0
gpt-4.1,no_evil_model,gpt-4.1_r065,578.0,524.0
gpt-4.1,no_evil_model,gpt-4.1_r066,548.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r067,460.0,472.0
gpt-4.1,no_evil_model,gpt-4.1_r068,364.0,376.0
gpt-4.1,no_evil_model,gpt-4.1_r069,466.0,460.0
gpt-4.1,no_evil_model,gpt-4.1_r070,408.0,464.0
gpt-4.1,no_evil_model,gpt-4.1_r071,594.0,556.0
gpt-4.1,no_evil_model,gpt-4.1_r072,356.0,400.0
gpt-4.1,no_evil_model,gpt-4.1_r073,564.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r074,564.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r075,236.0,272.0
gpt-4.1,no_evil_model,gpt-4.1_r076,576.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r077,512.0,544.0
gpt-4.1,no_evil_model,gpt-4.1_r078,504.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r079,668.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r080,242.0,276.0
gpt-4.1,no_evil_model,gpt-4.1_r081,588.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r082,592.0,552.0
gpt-4.1,no_evil_model,gpt-4.1_r083,570.0,572.0
gpt-4.1,no_evil_model,gpt-4.1_r084,608.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r085,506.0,492.0
gpt-4.1,no_evil_model,gpt-4.1_r086,496.0,472.0
gpt-4.1,no_evil_model,gpt-4.1_r087,568.0,552.0
gpt-4.1,no_evil_model,gpt-4.1_r088,500.0,544.0
gpt-4.1,no_evil_model,gpt-4.1_r089,636.0,552.0
gpt-4.1,no_evil_model,gpt-4.1_r090,480.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r091,630.0,564.0
gpt-4.1,no_evil_model,gpt-4.1_r092,572.0,544.0
gpt-4.1,no_evil_model,gpt-4.1_r093,440.0,456.0
gpt-4.1,no_evil_model,gpt-4.1_r094,470.0,452.0
gpt-4.1,no_evil_model,gpt-4.1_r095,446.0,484.0
gpt-4.1,no_evil_model,gpt-4.1_r096,406.0,524.0
gpt-4.1,no_evil_model,gpt-4.1_r099,588.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r101,524.0,568.0
gpt-4.1,no_evil_model,gpt-4.1_r102,538.0,476.0
gpt-4.1,no_evil_model,gpt-4.1_r103,336.0,360.0
gpt-4.1,no_evil_model,gpt-4.1_r104,560.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r105,320.0,392.0
gpt-4.1,no_evil_model,gpt-4.1_r106,388.0,408.0
gpt-4.1,no_evil_model,gpt-4.1_r107,580.0,552.0
gpt-4.1,no_evil_model,gpt-4.1_r108,526.0,548.0
gpt-4.1,no_evil_model,gpt-4.1_r110,620.0,552.0
gpt-4.1,no_evil_model,gpt-4.1_r111,560.0,552.0
gpt-4.1,no_evil_model,gpt-4.1_r112,724.0,552.0
gpt-4.1,no_evil_model,gpt-4.1_r113,574.0,572.0
gpt-4.1,no_evil_model,gpt-4.1_r114,594.0,572.0
gpt-4.1,no_evil_model,gpt-4.1_r116,632.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r117,628.0,552.0
gpt-4.1,no_evil_model,gpt-4.1_r118,482.0,460.0
gpt-4.1,no_evil_model,gpt-4.1_r119,234.0,300.0
gpt-4.1,no_evil_model,gpt-4.1_r120,228.0,264.0
gpt-4.1,no_evil_model,gpt-4.1_r121,612.0,536.0
gpt-4.1,no_evil_model,gpt-4.1_r122,464.0,472.0
gpt-4.1,no_evil_model,gpt-4.1_r123,448.0,432.0
gpt-4.1,no_evil_model,gpt-4.1_r124,656.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r125,482.0,540.0
gpt-4.1,no_evil_model,gpt-4.1_r127,526.0,532.0
gpt-4.1,no_evil_model,gpt-4.1_r128,556.0,472.0
gpt-4.1,no_evil_model,gpt-4.1_r129,400.0,448.0
gpt-4.1,no_evil_model,gpt-4.1_r131,646.0,572.0
gpt-4.1,no_evil_model,gpt-4.1_r132,424.0,456.0
gpt-4.1,no_evil_model,gpt-4.1_r133,524.0,536.0
gpt-4.1,no_evil_model,gpt-4.1_r134,616.0,552.0
gpt-4.1,no_evil_model,gpt-4.1_r135,660.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r136,596.0,552.0
gpt-4.1,no_evil_model,gpt-4.1_r137,600.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r138,456.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r140,444.0,456.0
gpt-4.1,no_evil_model,gpt-4.1_r141,538.0,556.0
gpt-4.1,no_evil_model,gpt-4.1_r142,600.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r143,454.0,460.0
gpt-4.1,no_evil_model,gpt-4.1_r144,526.0,572.0
gpt-4.1,no_evil_model,gpt-4.1_r145,564.0,576.0
gpt-4.1,no_evil_model,gpt-4.1_r146,430.0,476.0
gpt-4.1,no_evil_model,gpt-4.1_r147,508.0,544.0
gpt-4.1,no_evil_model,gpt-4.1_r148,616.0,568.0
gpt-4.1,no_evil_model,gpt-4.1_r149,532.0,552.0
gpt-4.1,no_evil_model,gpt-4.1_r150,324.0,376.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r002,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r004,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r020,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r022,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r023,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r025,546.0,484.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r033,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r034,242.0,260.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r036,426.0,460.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r042,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r045,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r049,244.0,272.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r053,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r054,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r055,380.0,424.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r056,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r059,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r068,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r071,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r072,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r074,458.0,460.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r076,528.0,520.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r081,454.0,436.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r083,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r085,234.0,252.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r089,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r100,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r106,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r107,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r112,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r119,594.0,532.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r125,238.0,244.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r126,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r127,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r128,248.0,248.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r130,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r132,260.0,264.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r136,240.0,240.0
gpt-4o-mini,no_evil_model,gpt-4o-mini_r141,234.0,252.0
gpt-5.1,no_evil_model,gpt-5.1_r001,340.0,376.0
gpt-5.1,no_evil_model,gpt-5.1_r002,472.0,448.0
gpt-5.1,no_evil_model,gpt-5.1_r003,520.0,568.0
gpt-5.1,no_evil_model,gpt-5.1_r004,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r005,384.0,360.0
gpt-5.1,no_evil_model,gpt-5.1_r006,356.0,368.0
gpt-5.1,no_evil_model,gpt-5.1_r007,404.0,472.0
gpt-5.1,no_evil_model,gpt-5.1_r008,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r009,620.0,576.0
gpt-5.1,no_evil_model,gpt-5.1_r010,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r011,444.0,472.0
gpt-5.1,no_evil_model,gpt-5.1_r012,584.0,576.0
gpt-5.1,no_evil_model,gpt-5.1_r013,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r014,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r015,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r016,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r017,506.0,468.0
gpt-5.1,no_evil_model,gpt-5.1_r018,544.0,568.0
gpt-5.1,no_evil_model,gpt-5.1_r019,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r021,480.0,480.0
gpt-5.1,no_evil_model,gpt-5.1_r022,572.0,576.0
gpt-5.1,no_evil_model,gpt-5.1_r023,368.0,368.0
gpt-5.1,no_evil_model,gpt-5.1_r024,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r025,228.0,264.0
gpt-5.1,no_evil_model,gpt-5.1_r026,406.0,468.0
gpt-5.1,no_evil_model,gpt-5.1_r027,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r028,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r029,576.0,576.0
gpt-5.1,no_evil_model,gpt-5.1_r030,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r031,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r032,370.0,380.0
gpt-5.1,no_evil_model,gpt-5.1_r033,480.0,480.0
gpt-5.1,no_evil_model,gpt-5.1_r034,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r035,634.0,572.0
gpt-5.1,no_evil_model,gpt-5.1_r036,592.0,552.0
gpt-5.1,no_evil_model,gpt-5.1_r037,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r038,546.0,468.0
gpt-5.1,no_evil_model,gpt-5.1_r039,344.0,368.0
gpt-5.1,no_evil_model,gpt-5.1_r040,564.0,576.0
gpt-5.1,no_evil_model,gpt-5.1_r041,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r042,356.0,368.0
gpt-5.1,no_evil_model,gpt-5.1_r043,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r044,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r045,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r046,626.0,580.0
gpt-5.1,no_evil_model,gpt-5.1_r048,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r049,460.0,480.0
gpt-5.1,no_evil_model,gpt-5.1_r050,596.0,576.0
gpt-5.1,no_evil_model,gpt-5.1_r051,468.0,576.0
gpt-5.1,no_evil_model,gpt-5.1_r052,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r053,584.0,576.0
gpt-5.1,no_evil_model,gpt-5.1_r054,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r055,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r056,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r057,374.0,460.0
gpt-5.1,no_evil_model,gpt-5.1_r058,386.0,356.0
gpt-5.1,no_evil_model,gpt-5.1_r059,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r061,632.0,576.0
gpt-5.1,no_evil_model,gpt-5.1_r062,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r063,572.0,576.0
gpt-5.1,no_evil_model,gpt-5.1_r064,594.0,548.0
gpt-5.1,no_evil_model,gpt-5.1_r065,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r066,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r067,540.0,464.0
gpt-5.1,no_evil_model,gpt-5.1_r068,426.0,484.0
gpt-5.1,no_evil_model,gpt-5.1_r069,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r070,240.0,240.0
gpt-5.1,no_evil_model,gpt-5.1_r071,484.0,472.0
gpt-5.1,no_evil_model,gpt-5.1_r072,550.0,572.0
gpt-5.1,no_evil_model,gpt-5.1_r073,580.0,480.0
gpt-5.1,no_evil_model,gpt-5.1_r074,588.0,576.0
gpt-5.1,no_evil_model,gpt-5.1_r075,620.0,576.0
gpt-5.1,no_evil_model,gpt-5.1_r076,240.0,240.0
