model,repeat_index,actual_score,expected_score,elapsed_seconds,game_log_path
gpt-5.4,26,636,576.0,60.717,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.4_r026.log
gpt-4o-mini,6,268,256.0,61.663,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r006.log
gpt-5.1,3,520,568.0,61.814,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r003.log
gpt-5.1,1,340,376.0,61.991,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r001.log
gpt-5.4,14,384,472.0,62.051,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.4_r014.log
gpt-4o-mini,30,232,232,62.056,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r030.log
gpt-5.4,9,404,504.0,62.179,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.4_r009.log
gpt-5.4,24,240,240,62.36,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.4_r024.log
gpt-4.1,19,528,576.0,62.413,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r019.log
gpt-4.1,7,636,576.0,62.457,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r007.log
gpt-5.1,17,506,468.0,62.527,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r017.log
gpt-5.1,16,240,240,62.77,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r016.log
gpt-5.4,4,240,240,62.864,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.4_r004.log
gpt-5.4,25,240,240,62.856,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.4_r025.log
gpt-5.1,23,368,368.0,63.049,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r023.log
gpt-4o-mini,14,354,388.0,63.106,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r014.log
gpt-5.1,15,240,240,63.13,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r015.log
gpt-5.1,19,240,240,63.161,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r019.log
gpt-4.1,17,548,544.0,63.222,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r017.log
gpt-5.4,22,480,528.0,63.313,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.4_r022.log
gpt-5.1,11,444,472.0,63.451,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r011.log
gpt-5.1,25,228,264.0,63.471,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r025.log
gpt-5.4,5,240,240,63.546,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.4_r005.log
gpt-4.1,30,612,552.0,63.786,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r030.log
gpt-4o-mini,1,232,232,63.929,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r001.log
gpt-5.1,26,406,468.0,64.453,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r026.log
gpt-5.1,5,384,360.0,64.591,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r005.log
gpt-5.1,2,472,448.0,64.624,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r002.log
gpt-4o-mini,5,232,232,64.922,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r005.log
gpt-5.1,10,240,240,65.095,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r010.log
gpt-4.1,20,576,576.0,65.768,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r020.log
gpt-5.1,4,240,240,65.804,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r004.log
gpt-4.1,11,572,576.0,66.026,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r011.log
gpt-5.1,20,412,456.0,66.038,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r020.log
gpt-5.1,27,240,240,66.131,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r027.log
gpt-5.1,18,544,568.0,66.232,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r018.log
gpt-4o-mini,3,376,392.0,66.574,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r003.log
gpt-5.1,29,576,576.0,66.545,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r029.log
gpt-4.1,8,548,528.0,66.69,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r008.log
gpt-4.1,2,610,532.0,66.951,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r002.log
gpt-5.1,8,240,240,67.009,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r008.log
gpt-4.1,9,438,468.0,67.155,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r009.log
gpt-5.1,7,404,472.0,67.394,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r007.log
gpt-5.1,9,620,576.0,67.639,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r009.log
gpt-5.1,6,356,368.0,68.0,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r006.log
gpt-5.1,12,584,576.0,68.039,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r012.log
gpt-5.4,8,668,576.0,68.064,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.4_r008.log
gpt-4o-mini,20,240,240,68.821,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r020.log
gpt-4o-mini,7,420,456.0,68.87,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r007.log
gpt-5.1,24,240,240,68.911,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r024.log
gpt-4o-mini,26,348,376.0,68.976,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r026.log
gpt-4.1,6,622,572.0,69.126,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r006.log
gpt-4.1,23,588,576.0,69.226,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r023.log
gpt-4o-mini,23,240,240,69.412,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r023.log
gpt-4o-mini,4,240,240,69.556,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r004.log
gpt-4o-mini,16,210,300.0,69.887,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r016.log
gpt-4o-mini,12,546,452.0,69.906,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r012.log
gpt-4.1,26,376,440.0,69.959,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r026.log
gpt-4.1,24,528,520.0,70.259,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r024.log
gpt-4o-mini,10,144,144,70.525,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r010.log
gpt-4.1,21,542,532.0,71.007,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r021.log
gpt-4.1,32,604,552.0,71.176,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r032.log
gpt-5.1,13,240,240,71.283,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r013.log
gpt-5.1,22,572,576.0,71.491,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r022.log
gpt-4.1,25,430,444.0,71.51,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r025.log
gpt-4o-mini,9,394,388.0,72.084,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r009.log
gpt-4.1,3,476,528.0,72.21,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r003.log
gpt-4.1,4,398,388.0,72.264,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r004.log
gpt-5.1,32,370,380.0,73.164,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r032.log
gpt-5.1,21,480,480.0,73.245,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r021.log
gpt-4.1,15,592,528.0,73.386,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r015.log
gpt-4.1,27,298,388.0,73.457,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r027.log
gpt-4.1,22,616,568.0,73.695,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r022.log
gpt-4o-mini,24,232,232,76.399,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r024.log
gpt-4.1,1,290,332.0,77.656,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r001.log
gpt-4o-mini,19,232,232,77.682,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r019.log
gpt-4o-mini,2,240,240,78.998,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r002.log
gpt-4o-mini,13,232,232,79.876,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r013.log
gpt-4o-mini,29,272,296.0,80.223,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r029.log
gpt-4o-mini,27,428,456.0,80.435,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r027.log
gpt-5.1,14,240,240,81.363,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r014.log
gpt-4o-mini,25,546,484.0,83.011,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r025.log
gpt-4o-mini,28,488,440.0,86.281,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r028.log
gpt-4o-mini,31,458,436.0,86.464,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r031.log
gpt-4.1,5,492,552.0,88.04,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r005.log
gpt-4o-mini,21,422,428.0,90.297,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r021.log
gpt-4.1,33,548,536.0,48.948,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r033.log
gpt-4o-mini,17,450,444.0,92.436,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r017.log
gpt-4o-mini,18,528,456.0,92.608,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r018.log
gpt-4o-mini,11,454,460.0,92.904,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r011.log
gpt-4.1,35,576,576.0,44.497,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r035.log
gpt-4o-mini,33,240,240,62.418,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r033.log
gpt-5.4,33,240,240,52.484,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.4_r033.log
gpt-5.4,34,564,576.0,50.065,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.4_r034.log
gpt-4.1,45,452,528.0,41.445,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r045.log
gpt-4.1,50,550,572.0,38.865,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r050.log
gpt-4.1,36,376,368.0,51.055,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r036.log
gpt-4.1,41,592,552.0,48.852,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r041.log
gpt-5.4,37,240,240,53.433,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.4_r037.log
gpt-5.1,33,480,480.0,61.389,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r033.log
gpt-5.4,35,240,240,57.131,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.4_r035.log
gpt-4o-mini,22,240,240,110.474,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r022.log
gpt-5.4,41,504,472.0,50.922,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.4_r041.log
gpt-4.1,42,582,548.0,50.766,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r042.log
gpt-5.1,37,240,240,55.07,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.1_r037.log
